RSC,PI,KR,MH,Na,SAR,SSP,EC,IWQI,USABLE
0.0,0.3,0.4,54.2,82.6,18.6,33.7,2020.0,97.7577380952381,1.0
0.0,0.4,2.6,53.3,63.8,27.2,48.7,3620.0,146.39781746031747,1.0
0.0,0.4,0.7,54.2,74.5,36.0,49.9,1593.0,106.7610119047619,1.0
0.0,0.4,0.5,29.2,82.5,19.9,33.7,1888.0,91.03045634920635,1.0
0.0,0.3,0.3,56.2,80.9,14.3,44.6,7684.0,191.03204365079364,1.0
0.0,0.7,1.8,32.6,73.9,63.7,63.7,2036.0,140.46319444444444,1.0
0.0,0.5,0.7,53.5,69.2,39.9,42.7,7732.0,208.17261904761904,1.0
0.0,0.4,1.5,44.1,82.6,18.5,31.5,2600.0,113.46448412698413,1.0
0.0,0.3,0.3,55.1,63.9,11.9,23.4,1721.0,79.09454365079365,1.0
0.0,0.6,1.2,55.4,64.1,37.6,53.7,1610.0,110.3578373015873,1.0
0.0,0.4,0.5,67.6,84.8,19.3,35.3,1010.0,86.69920634920634,1.0
0.0,0.4,0.7,55.9,87.6,30.3,40.5,1928.0,110.5547619047619,1.0
0.0,0.3,0.4,55.5,70.9,19.0,29.8,6081.0,161.41259920634923,1.0
0.0,0.4,0.5,61.0,81.0,18.1,32.8,1774.0,95.13670634920635,1.0
0.0,0.3,0.4,62.7,74.4,16.1,27.1,2802.0,106.96746031746032,1.0
0.0,0.3,0.4,57.9,68.6,14.5,27.2,8096.0,191.10218253968253,1.0
0.0,0.5,0.8,45.8,66.0,32.1,44.1,1860.0,103.14761904761906,1.0
0.0,0.4,0.5,76.7,83.7,22.4,35.4,1860.0,104.97490079365079,1.0
0.0,0.2,0.2,72.5,78.3,13.9,19.2,10074.0,226.64890873015872,1.0
0.0,0.6,1.1,81.8,86.6,46.5,52.4,2920.0,150.84464285714284,1.0
0.0,0.6,1.1,83.2,85.5,40.2,53.4,2260.0,135.72589285714287,1.0
0.0,0.4,0.4,60.6,67.6,16.1,29.6,3150.0,110.76031746031745,1.0
0.0,0.5,0.7,43.7,50.8,30.5,41.4,3040.0,114.91984126984127,1.0
